id,kr_name,en_name,price,title,rating,description,sub_category_id
1,친환경 무항생제 유정란 01red,Eco-friendly antibiotic-free fertilized egg 01red,12900,무항생제 인증받은 무항생제 유정란,8,https://media.vlpt.us/images/hyeoni_yoo/post/f4163536-0dcc-4eb1-bdc4-3032df58f499/iOS%20%E1%84%8B%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8C%E1%85%B5%20(2).jpg,1
2,친환경 무항생제 유정란 02yellow,Eco-friendly antibiotic-free fertilized egg 02yellow,12900,무항생제 인증받은 무항생제 유정란,7,https://media.vlpt.us/images/hyeoni_yoo/post/f4163536-0dcc-4eb1-bdc4-3032df58f499/iOS%20%E1%84%8B%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8C%E1%85%B5%20(2).jpg,1
3,친환경 무항생제 유정란 03orange,Eco-friendly antibiotic-free fertilized egg 03orange,12900,무항생제 인증받은 무항생제 유정란,3,https://media.vlpt.us/images/hyeoni_yoo/post/f4163536-0dcc-4eb1-bdc4-3032df58f499/iOS%20%E1%84%8B%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8C%E1%85%B5%20(2).jpg,1
4,친환경 무항생제 유정란 04green,Eco-friendly antibiotic-free fertilized egg 04green,12900,무항생제 인증받은 무항생제 유정란,6,https://media.vlpt.us/images/hyeoni_yoo/post/f4163536-0dcc-4eb1-bdc4-3032df58f499/iOS%20%E1%84%8B%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8C%E1%85%B5%20(2).jpg,1
5,친환경 무항생제 유정란 05blue,Eco-friendly antibiotic-free fertilized egg 05blue,12900,무항생제 인증받은 무항생제 유정란,4,https://media.vlpt.us/images/hyeoni_yoo/post/f4163536-0dcc-4eb1-bdc4-3032df58f499/iOS%20%E1%84%8B%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8C%E1%85%B5%20(2).jpg,1
6,친환경 무항생제 유정란 06navy,Eco-friendly antibiotic-free fertilized egg 06navy,12900,무항생제 인증받은 무항생제 유정란,6,https://media.vlpt.us/images/hyeoni_yoo/post/f4163536-0dcc-4eb1-bdc4-3032df58f499/iOS%20%E1%84%8B%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8C%E1%85%B5%20(2).jpg,1
7,친환경 무항생제 유정란 07purple,Eco-friendly antibiotic-free fertilized egg 07purple,12900,무항생제 인증받은 무항생제 유정란,7,https://media.vlpt.us/images/hyeoni_yoo/post/f4163536-0dcc-4eb1-bdc4-3032df58f499/iOS%20%E1%84%8B%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8C%E1%85%B5%20(2).jpg,1
8,친환경 무항생제 유정란 08gold,Eco-friendly antibiotic-free fertilized egg 08gold,12900,무항생제 인증받은 무항생제 유정란,2,https://media.vlpt.us/images/hyeoni_yoo/post/f4163536-0dcc-4eb1-bdc4-3032df58f499/iOS%20%E1%84%8B%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8C%E1%85%B5%20(2).jpg,1
9,친환경 무항생제 유정란 09plain,Eco-friendly antibiotic-free fertilized egg 09plain,12900,무항생제 인증받은 무항생제 유정란,8,https://media.vlpt.us/images/hyeoni_yoo/post/f4163536-0dcc-4eb1-bdc4-3032df58f499/iOS%20%E1%84%8B%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8C%E1%85%B5%20(2).jpg,1
10,친환경 무항생제 유정란 10silver,Eco-friendly antibiotic-free fertilized egg 10silver,12900,무항생제 인증받은 무항생제 유정란,9,https://media.vlpt.us/images/hyeoni_yoo/post/f4163536-0dcc-4eb1-bdc4-3032df58f499/iOS%20%E1%84%8B%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8C%E1%85%B5%20(2).jpg,1
